Date,Route,Rating,Notes,URL,Pitches,Location,Avg Stars,Your Stars,Style,Lead Style,Route Type,Your Grade,Length,Route Crag,Route State
2020-06-29,Left Handed Jew,5.7+,No Notes,https://www.mountainproject.com/route/105749284/left-handed-jew,1,Colorado > South Platte > Turkey Rocks > Turkey Perch,3.1,-1,TR,Not Led,"Trad, TR",Not Assigned,70.0,Turkey Perch,Colorado
2020-06-29,Ragger Bagger,5.8+,No Notes,https://www.mountainproject.com/route/105749689/ragger-bagger,1,Colorado > South Platte > Turkey Rocks > Turkey Perch,3.0,-1,TR,Not Led,Trad,Not Assigned,78.0,Turkey Perch,Colorado
2020-06-20,Southwest Ridge,3rd,No Notes,https://www.mountainproject.com/route/105763053/southwest-ridge,1,Colorado > Alpine Rock > San Juans > Mount Sneffels,2.8,-1,Solo,Not Led,"Trad, Alpine",Not Assigned,78.0,Mount Sneffels,Colorado
2020-06-12,The Fiend,5.9,No Notes,https://www.mountainproject.com/route/106590436/the-fiend,1,Colorado > South Platte > Turkey Rocks > Turkey Rock,2.6,-1,TR,Not Led,Trad,Not Assigned,115.0,Turkey Rock,Colorado
2020-06-06,The Eastern Front,5.8,No Notes,https://www.mountainproject.com/route/106590481/the-eastern-front,1,Colorado > South Platte > Turkey Rocks > Turkey Rock,2.3,-1,TR,Not Led,Trad,Not Assigned,115.0,Turkey Rock,Colorado
2020-05-18,Great Northern Slab,5.7,No Notes,https://www.mountainproject.com/route/105790657/great-northern-slab,3,Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Lower Town Wall > (A) Great Northern Slab,2.9,-1,Follow,Not Led,Trad,Not Assigned,78.0,(A) Great Northern Slab,Washington
2020-05-15,The Coffin,5.9,Gumby bounced,https://www.mountainproject.com/route/105740048/the-coffin,1,Utah > Wasatch Range > Central Wasatch > Little Cottonwood Canyon > Coffin Buttress,3.8,-1,TR,Not Led,Trad,Not Assigned,80.0,Coffin Buttress,Utah
2020-05-14,Crescent Crack,5.7,No Notes,https://www.mountainproject.com/route/105740015/crescent-crack,2,Utah > Wasatch Range > Central Wasatch > Little Cottonwood Canyon > Crescent Crack Buttress,2.9,-1,TR,Not Led,Trad,Not Assigned,300.0,Crescent Crack Buttress,Utah
2020-05-11,Grizabella,5.7,No Notes,https://www.mountainproject.com/route/105748861/grizabella,1,Colorado > Golden > Clear Creek Canyon > The Catslab,2.2,-1,Lead,Onsight,Sport,Not Assigned,95.0,The Catslab,Colorado
2020-05-11,Skimbleshanks,5.8-,No Notes,https://www.mountainproject.com/route/105749530/skimbleshanks,1,Colorado > Golden > Clear Creek Canyon > The Catslab,3.0,-1,Lead,Redpoint,Sport,Not Assigned,130.0,The Catslab,Colorado
2020-05-09,Dash and Thrangle,5.7,No Notes,https://www.mountainproject.com/route/105756853/dash-and-thrangle,1,Colorado > South Platte > Turkey Rocks > Turkey Rock,1.6,-1,TR,Not Led,Trad,Not Assigned,40.0,Turkey Rock,Colorado
2020-05-09,Mellow Yellow,5.8,No Notes,https://www.mountainproject.com/route/105751483/mellow-yellow,2,Colorado > South Platte > Turkey Rocks > Leftovers,2.9,-1,Follow,Not Led,Trad,Not Assigned,78.0,Leftovers,Colorado
2020-03-18,Honky Jam Ass Crack,5.7,"First Crack, fell but made it ",https://www.mountainproject.com/route/105750361/honky-jam-ass-crack,1,Colorado > South Platte > Turkey Rocks > Turkey Perch,2.8,-1,TR,Not Led,"Trad, TR",Not Assigned,78.0,Turkey Perch,Colorado
2020-02-29,Mungajerry,5.10a,Almost! ,https://www.mountainproject.com/route/105752506/mungajerry,1,Colorado > Golden > Clear Creek Canyon > The Catslab,2.3,-1,TR,Not Led,Sport,Not Assigned,100.0,The Catslab,Colorado
2020-02-29,Rumple Teaser,5.10b,No Notes,https://www.mountainproject.com/route/105749188/rumple-teaser,1,Colorado > Golden > Clear Creek Canyon > The Catslab,2.6,-1,TR,Not Led,Sport,Not Assigned,100.0,The Catslab,Colorado
2020-02-29,Mr. Mistoffeles,5.9,No Notes,https://www.mountainproject.com/route/105752509/mr-mistoffeles,1,Colorado > Golden > Clear Creek Canyon > The Catslab,2.7,-1,TR,Not Led,Sport,Not Assigned,78.0,The Catslab,Colorado
